,site,scientificnameaccepted,quarter,yearcollected,Count (Dmnless)
388,site_54.18_11.75,Electra pilosa,4,2001,1
389,site_54.18_11.75,Electra pilosa,4,2003,1
390,site_54.18_11.75,Electra pilosa,4,2004,1
391,site_54.18_11.75,Eteone (Mysta) barbata,4,1997,3
392,site_54.18_11.75,Eteone longa,1,1998,6
393,site_54.18_11.75,Eteone longa,1,1999,4
394,site_54.18_11.75,Eteone longa,1,2000,1
395,site_54.18_11.75,Eteone longa,1,2002,3
396,site_54.18_11.75,Eteone longa,2,2000,6
397,site_54.18_11.75,Eteone longa,2,2001,34
398,site_54.18_11.75,Eteone longa,3,1994,52
399,site_54.18_11.75,Eteone longa,3,2000,10
400,site_54.18_11.75,Eteone longa,3,2004,3
401,site_54.18_11.75,Eteone longa,4,2001,3
402,site_54.18_11.75,Eteone longa,4,2003,1
403,site_54.18_11.75,Eteone longa,4,2004,1
404,site_54.18_11.75,Euchone papillosa,1,1999,7
405,site_54.18_11.75,Euchone papillosa,1,2000,10
406,site_54.18_11.75,Euchone papillosa,1,2002,3
407,site_54.18_11.75,Euchone papillosa,1,2004,3
408,site_54.18_11.75,Euchone papillosa,3,1999,16
409,site_54.18_11.75,Euchone papillosa,3,2000,10
410,site_54.18_11.75,Euchone papillosa,3,2004,1
411,site_54.18_11.75,Euchone papillosa,4,2001,7
412,site_54.18_11.75,Euchone papillosa,4,2003,3
413,site_54.18_11.75,Euchone papillosa,4,2004,1
414,site_54.18_11.75,Eucratea loricata,1,2000,1
415,site_54.18_11.75,Eucratea loricata,1,2001,1
416,site_54.18_11.75,Eucratea loricata,1,2002,1
417,site_54.18_11.75,Eucratea loricata,1,2003,1
418,site_54.18_11.75,Eucratea loricata,1,2004,1
419,site_54.18_11.75,Eucratea loricata,2,2001,1
420,site_54.18_11.75,Eucratea loricata,3,2000,1
421,site_54.18_11.75,Eucratea loricata,3,2004,1
422,site_54.18_11.75,Eucratea loricata,4,2000,1
423,site_54.18_11.75,Eucratea loricata,4,2001,1
424,site_54.18_11.75,Eucratea loricata,4,2003,1
425,site_54.18_11.75,Eucratea loricata,4,2004,1
426,site_54.18_11.75,Eudendrium,4,2000,1
427,site_54.18_11.75,Eudendrium,4,2003,1
428,site_54.18_11.75,Eulalia bilineata,1,2001,10
429,site_54.18_11.75,Eulalia bilineata,1,2002,20
430,site_54.18_11.75,Eulalia bilineata,1,2004,3
431,site_54.18_11.75,Eulalia bilineata,2,2001,17
432,site_54.18_11.75,Eulalia bilineata,3,1999,3
433,site_54.18_11.75,Eulalia bilineata,3,2000,27
434,site_54.18_11.75,Eulalia bilineata,3,2004,1
435,site_54.18_11.75,Eulalia bilineata,4,2000,1
436,site_54.18_11.75,Eulalia bilineata,4,2001,17
437,site_54.18_11.75,Eulalia bilineata,4,2003,1
438,site_54.18_11.75,Eulalia viridis,2,2001,1
439,site_54.18_11.75,Facelina bostoniensis,1,2001,3
440,site_54.18_11.75,Facelina bostoniensis,1,2002,3
441,site_54.18_11.75,Facelina bostoniensis,1,2003,1
442,site_54.18_11.75,Facelina bostoniensis,1,2005,1
443,site_54.18_11.75,Facelina bostoniensis,3,1994,10
444,site_54.18_11.75,Facelina bostoniensis,3,2000,1
445,site_54.18_11.75,Facelina bostoniensis,4,2001,10
446,site_54.18_11.75,Facelina bostoniensis,4,2003,1
447,site_54.18_11.75,Facelina bostoniensis,4,2004,1
448,site_54.18_11.75,Farrella repens,3,2004,1
449,site_54.18_11.75,Gammarellus homari,1,1999,1
450,site_54.18_11.75,Gammarus oceanicus,1,2005,1
451,site_54.18_11.75,Gammarus oceanicus,4,2004,1
452,site_54.18_11.75,Gammarus salinus,1,1998,3
453,site_54.18_11.75,Gammarus salinus,1,1999,1
454,site_54.18_11.75,Gammarus salinus,1,2004,1
455,site_54.18_11.75,Gammarus salinus,1,2005,1
456,site_54.18_11.75,Gammarus salinus,3,1997,3
457,site_54.18_11.75,Gammarus salinus,4,2004,1
458,site_54.18_11.75,Garveia franciscana,4,2001,1
459,site_54.18_11.75,Gastrosaccus spinifer,1,1997,28
460,site_54.18_11.75,Gastrosaccus spinifer,1,1998,3
461,site_54.18_11.75,Gastrosaccus spinifer,1,1999,30
462,site_54.18_11.75,Gastrosaccus spinifer,1,2000,1
463,site_54.18_11.75,Gastrosaccus spinifer,1,2003,1
464,site_54.18_11.75,Gastrosaccus spinifer,1,2005,88
465,site_54.18_11.75,Gastrosaccus spinifer,2,2000,9
466,site_54.18_11.75,Gastrosaccus spinifer,2,2001,7
467,site_54.18_11.75,Gastrosaccus spinifer,3,1994,39
468,site_54.18_11.75,Gastrosaccus spinifer,3,1998,12
469,site_54.18_11.75,Gastrosaccus spinifer,3,1999,3
470,site_54.18_11.75,Gastrosaccus spinifer,3,2000,44
471,site_54.18_11.75,Gastrosaccus spinifer,3,2004,3
472,site_54.18_11.75,Gastrosaccus spinifer,4,1997,41
473,site_54.18_11.75,Gastrosaccus spinifer,4,1998,6
474,site_54.18_11.75,Gastrosaccus spinifer,4,1999,25
475,site_54.18_11.75,Gastrosaccus spinifer,4,2004,51
476,site_54.18_11.75,Gonothyraea loveni,1,2000,1
477,site_54.18_11.75,Gonothyraea loveni,4,1999,1
478,site_54.18_11.75,Halichondria panicea,3,2000,1
479,site_54.18_11.75,Halichondria panicea,4,2004,1
480,site_54.18_11.75,Haliclona (Haliclona) oculata,1,2005,1
481,site_54.18_11.75,Haliclona limbata,4,2001,1
482,site_54.18_11.75,Halicryptus spinulosus,1,1997,16
483,site_54.18_11.75,Halicryptus spinulosus,1,1998,9
484,site_54.18_11.75,Halicryptus spinulosus,1,1999,1
485,site_54.18_11.75,Halicryptus spinulosus,1,2001,7
486,site_54.18_11.75,Halicryptus spinulosus,1,2003,7
487,site_54.18_11.75,Halicryptus spinulosus,2,1996,53
488,site_54.18_11.75,Halicryptus spinulosus,2,2001,3
489,site_54.18_11.75,Halicryptus spinulosus,3,1996,15
490,site_54.18_11.75,Halicryptus spinulosus,3,1997,6
491,site_54.18_11.75,Halicryptus spinulosus,3,1999,3
