,site,MMDDYYY,scientificnameaccepted,Count (Dmnless)
368,site_54.18_11.75,10-26-2001,Diastylis rathkei,959
369,site_54.18_11.75,2-5-2002,Diastylis rathkei,486
370,site_54.18_11.75,2-14-2003,Diastylis rathkei,85
371,site_54.18_11.75,10-14-2003,Diastylis rathkei,99
372,site_54.18_11.75,2-13-2004,Diastylis rathkei,88
373,site_54.18_11.75,8-21-2004,Diastylis rathkei,1398
374,site_54.18_11.75,10-30-2004,Diastylis rathkei,184
375,site_54.18_11.75,2-8-2005,Diastylis rathkei,119
376,site_54.18_11.75,2-8-2005,Dynamena pumila,1
377,site_54.18_11.75,8-30-2000,Edwardsia danica,7
378,site_54.18_11.75,10-25-2000,Edwardsia danica,14
379,site_54.18_11.75,3-27-2001,Edwardsia danica,3
380,site_54.18_11.75,10-26-2001,Edwardsia danica,3
381,site_54.18_11.75,2-5-2002,Edwardsia danica,3
382,site_54.18_11.75,2-14-2003,Edwardsia danica,3
383,site_54.18_11.75,2-13-2004,Edwardsia danica,10
384,site_54.18_11.75,10-30-2004,Edwardsia danica,24
385,site_54.18_11.75,2-8-2005,Edwardsia danica,3
386,site_54.18_11.75,8-30-2000,Electra crustulenta,1
387,site_54.18_11.75,10-26-2001,Electra crustulenta,1
388,site_54.18_11.75,2-14-2003,Electra crustulenta,1
389,site_54.18_11.75,10-14-2003,Electra crustulenta,1
390,site_54.18_11.75,10-30-2004,Electra crustulenta,1
391,site_54.18_11.75,2-8-2005,Electra crustulenta,1
392,site_54.18_11.75,5-15-1996,Electra pilosa,1
393,site_54.18_11.75,8-30-2000,Electra pilosa,1
394,site_54.18_11.75,10-25-2000,Electra pilosa,1
395,site_54.18_11.75,6-28-2001,Electra pilosa,1
396,site_54.18_11.75,10-26-2001,Electra pilosa,1
397,site_54.18_11.75,2-5-2002,Electra pilosa,1
398,site_54.18_11.75,10-14-2003,Electra pilosa,1
399,site_54.18_11.75,8-21-2004,Electra pilosa,1
400,site_54.18_11.75,10-30-2004,Electra pilosa,1
401,site_54.18_11.75,2-8-2005,Electra pilosa,1
402,site_54.18_11.75,11-7-1997,Eteone (Mysta) barbata,3
403,site_54.18_11.75,8-5-1994,Eteone longa,52
404,site_54.18_11.75,3-11-1998,Eteone longa,6
405,site_54.18_11.75,2-12-1999,Eteone longa,1
406,site_54.18_11.75,3-16-1999,Eteone longa,3
407,site_54.18_11.75,2-18-2000,Eteone longa,1
408,site_54.18_11.75,4-12-2000,Eteone longa,6
409,site_54.18_11.75,8-30-2000,Eteone longa,10
410,site_54.18_11.75,6-28-2001,Eteone longa,34
411,site_54.18_11.75,10-26-2001,Eteone longa,3
412,site_54.18_11.75,2-5-2002,Eteone longa,3
413,site_54.18_11.75,10-14-2003,Eteone longa,1
414,site_54.18_11.75,8-21-2004,Eteone longa,3
415,site_54.18_11.75,10-30-2004,Eteone longa,1
416,site_54.18_11.75,2-12-1999,Euchone papillosa,7
417,site_54.18_11.75,8-4-1999,Euchone papillosa,16
418,site_54.18_11.75,2-18-2000,Euchone papillosa,10
419,site_54.18_11.75,8-30-2000,Euchone papillosa,10
420,site_54.18_11.75,10-26-2001,Euchone papillosa,7
421,site_54.18_11.75,2-5-2002,Euchone papillosa,3
422,site_54.18_11.75,10-14-2003,Euchone papillosa,3
423,site_54.18_11.75,2-13-2004,Euchone papillosa,3
424,site_54.18_11.75,8-21-2004,Euchone papillosa,1
425,site_54.18_11.75,10-30-2004,Euchone papillosa,1
426,site_54.18_11.75,2-18-2000,Eucratea loricata,1
427,site_54.18_11.75,8-30-2000,Eucratea loricata,1
428,site_54.18_11.75,10-25-2000,Eucratea loricata,1
429,site_54.18_11.75,3-27-2001,Eucratea loricata,1
430,site_54.18_11.75,6-28-2001,Eucratea loricata,1
431,site_54.18_11.75,10-26-2001,Eucratea loricata,1
432,site_54.18_11.75,2-5-2002,Eucratea loricata,1
433,site_54.18_11.75,2-14-2003,Eucratea loricata,1
434,site_54.18_11.75,10-14-2003,Eucratea loricata,1
435,site_54.18_11.75,2-13-2004,Eucratea loricata,1
436,site_54.18_11.75,8-21-2004,Eucratea loricata,1
437,site_54.18_11.75,10-30-2004,Eucratea loricata,1
438,site_54.18_11.75,10-25-2000,Eudendrium,1
439,site_54.18_11.75,10-14-2003,Eudendrium,1
440,site_54.18_11.75,8-4-1999,Eulalia bilineata,3
441,site_54.18_11.75,8-30-2000,Eulalia bilineata,27
442,site_54.18_11.75,10-25-2000,Eulalia bilineata,1
443,site_54.18_11.75,3-27-2001,Eulalia bilineata,10
444,site_54.18_11.75,6-28-2001,Eulalia bilineata,17
445,site_54.18_11.75,10-26-2001,Eulalia bilineata,17
446,site_54.18_11.75,2-5-2002,Eulalia bilineata,20
447,site_54.18_11.75,10-14-2003,Eulalia bilineata,1
448,site_54.18_11.75,2-13-2004,Eulalia bilineata,3
449,site_54.18_11.75,8-21-2004,Eulalia bilineata,1
450,site_54.18_11.75,6-28-2001,Eulalia viridis,1
451,site_54.18_11.75,8-5-1994,Facelina bostoniensis,10
452,site_54.18_11.75,8-30-2000,Facelina bostoniensis,1
453,site_54.18_11.75,3-27-2001,Facelina bostoniensis,3
454,site_54.18_11.75,10-26-2001,Facelina bostoniensis,10
455,site_54.18_11.75,2-5-2002,Facelina bostoniensis,3
456,site_54.18_11.75,2-14-2003,Facelina bostoniensis,1
457,site_54.18_11.75,10-14-2003,Facelina bostoniensis,1
458,site_54.18_11.75,10-30-2004,Facelina bostoniensis,1
459,site_54.18_11.75,2-8-2005,Facelina bostoniensis,1
460,site_54.18_11.75,8-21-2004,Farrella repens,1
461,site_54.18_11.75,2-12-1999,Gammarellus homari,1
462,site_54.18_11.75,10-30-2004,Gammarus oceanicus,1
463,site_54.18_11.75,2-8-2005,Gammarus oceanicus,1
