,site,scientificnameaccepted,yearcollected,Count (Dmnless)
108,site_54.18_11.75,Abra alba,2000,2248
109,site_54.18_11.75,Abra alba,2001,367
110,site_54.18_11.75,Abra alba,2002,255
111,site_54.18_11.75,Abra alba,2003,2878
112,site_54.18_11.75,Abra alba,2004,3683
113,site_54.18_11.75,Abra alba,2005,1
114,site_54.18_11.75,Alcyonidium polyoum,1999,1
115,site_54.18_11.75,Alcyonidium polyoum,2000,2
116,site_54.18_11.75,Ampharete acutifrons,1999,3
117,site_54.18_11.75,Ampharete acutifrons,2000,10
118,site_54.18_11.75,Ampharete acutifrons,2001,7
119,site_54.18_11.75,Ampharete acutifrons,2004,3
120,site_54.18_11.75,Ampharete baltica,1997,55
121,site_54.18_11.75,Ampharete baltica,1998,9
122,site_54.18_11.75,Ampharete baltica,1999,252
123,site_54.18_11.75,Ampharete baltica,2000,34
124,site_54.18_11.75,Ampharete baltica,2001,1
125,site_54.18_11.75,Ampharete baltica,2002,3
126,site_54.18_11.75,Ampharete baltica,2004,34
127,site_54.18_11.75,Ampharete baltica,2005,7
128,site_54.18_11.75,Ampithoe rubricata,2000,2
129,site_54.18_11.75,Ampithoe rubricata,2002,1
130,site_54.18_11.75,Ampithoe rubricata,2004,1
131,site_54.18_11.75,Arctica islandica,1994,26
132,site_54.18_11.75,Arctica islandica,1995,31
133,site_54.18_11.75,Arctica islandica,1996,43
134,site_54.18_11.75,Arctica islandica,1997,52
135,site_54.18_11.75,Arctica islandica,1998,62
136,site_54.18_11.75,Arctica islandica,1999,168
137,site_54.18_11.75,Arctica islandica,2000,305
138,site_54.18_11.75,Arctica islandica,2001,394
139,site_54.18_11.75,Arctica islandica,2002,116
140,site_54.18_11.75,Arctica islandica,2003,200
141,site_54.18_11.75,Arctica islandica,2004,415
142,site_54.18_11.75,Arctica islandica,2005,75
143,site_54.18_11.75,Arenicola marina,1994,13
144,site_54.18_11.75,Arenicola marina,1998,9
145,site_54.18_11.75,Arenicola marina,2001,1
146,site_54.18_11.75,Aricidea cerrutii,1999,7
147,site_54.18_11.75,Aricidea suecica,1996,6
148,site_54.18_11.75,Aricidea suecica,1997,3
149,site_54.18_11.75,Aricidea suecica,1998,6
150,site_54.18_11.75,Aricidea suecica,1999,3
151,site_54.18_11.75,Aricidea suecica,2000,23
152,site_54.18_11.75,Aricidea suecica,2001,1
153,site_54.18_11.75,Aricidea suecica,2002,3
154,site_54.18_11.75,Astarte borealis,1996,15
155,site_54.18_11.75,Astarte borealis,1998,12
156,site_54.18_11.75,Astarte borealis,1999,26
157,site_54.18_11.75,Astarte borealis,2000,38
158,site_54.18_11.75,Astarte borealis,2001,27
159,site_54.18_11.75,Astarte borealis,2002,10
160,site_54.18_11.75,Astarte borealis,2003,32
161,site_54.18_11.75,Astarte borealis,2004,7
162,site_54.18_11.75,Astarte borealis,2005,1
163,site_54.18_11.75,Astarte elliptica,1995,31
164,site_54.18_11.75,Astarte elliptica,1998,3
165,site_54.18_11.75,Astarte elliptica,2000,3
166,site_54.18_11.75,Astarte elliptica,2002,1
167,site_54.18_11.75,Astarte elliptica,2004,1
168,site_54.18_11.75,Asterias rubens,1994,13
169,site_54.18_11.75,Asterias rubens,1996,3
170,site_54.18_11.75,Asterias rubens,1998,3
171,site_54.18_11.75,Asterias rubens,1999,3
172,site_54.18_11.75,Asterias rubens,2000,3
173,site_54.18_11.75,Asterias rubens,2001,7
174,site_54.18_11.75,Asterias rubens,2002,7
175,site_54.18_11.75,Asterias rubens,2003,4
176,site_54.18_11.75,Asterias rubens,2004,3
177,site_54.18_11.75,Asterias rubens,2005,1
178,site_54.18_11.75,Balanus crenatus,2003,1
179,site_54.18_11.75,Balanus crenatus,2004,1
180,site_54.18_11.75,Bathyporeia pilosa,1998,3
181,site_54.18_11.75,Bathyporeia pilosa,2000,1
182,site_54.18_11.75,Bougainvillia ramosa,2003,1
183,site_54.18_11.75,Bowerbankia gracilis,2001,1
184,site_54.18_11.75,Bylgides sarsi,1994,65
185,site_54.18_11.75,Bylgides sarsi,1995,6
186,site_54.18_11.75,Bylgides sarsi,1996,220
187,site_54.18_11.75,Bylgides sarsi,1997,155
188,site_54.18_11.75,Bylgides sarsi,1998,147
189,site_54.18_11.75,Bylgides sarsi,1999,145
190,site_54.18_11.75,Bylgides sarsi,2000,78
191,site_54.18_11.75,Bylgides sarsi,2001,98
192,site_54.18_11.75,Bylgides sarsi,2002,24
193,site_54.18_11.75,Bylgides sarsi,2003,42
194,site_54.18_11.75,Bylgides sarsi,2004,129
195,site_54.18_11.75,Bylgides sarsi,2005,17
196,site_54.18_11.75,Callopora lineata,1999,1
197,site_54.18_11.75,Callopora lineata,2001,2
198,site_54.18_11.75,Callopora lineata,2002,1
199,site_54.18_11.75,Callopora lineata,2004,2
200,site_54.18_11.75,Capitella capitata,1994,52
201,site_54.18_11.75,Capitella capitata,1995,6
202,site_54.18_11.75,Capitella capitata,1996,15
203,site_54.18_11.75,Capitella capitata,2000,11
204,site_54.18_11.75,Capitella capitata,2003,1
205,site_54.18_11.75,Capitella capitata,2004,4
206,site_54.18_11.75,Carcinus maenas,2004,1
207,site_54.18_11.75,Cephalothrix,1999,3
208,site_54.18_11.75,Cerastoderma glaucum,1994,26
209,site_54.18_11.75,Clytia hemisphaerica,2000,1
210,site_54.18_11.75,Corbula gibba,1995,3
211,site_54.18_11.75,Corbula gibba,1996,12
212,site_54.18_11.75,Corbula gibba,1997,15
213,site_54.18_11.75,Corbula gibba,1998,78
214,site_54.18_11.75,Corbula gibba,1999,237
215,site_54.18_11.75,Corbula gibba,2000,56
216,site_54.18_11.75,Corbula gibba,2001,27
217,site_54.18_11.75,Corbula gibba,2002,3
218,site_54.18_11.75,Corbula gibba,2003,2
219,site_54.18_11.75,Corbula gibba,2004,27
220,site_54.18_11.75,Corbula gibba,2005,20
221,site_54.18_11.75,Corophium crassicorne,1999,3
222,site_54.18_11.75,Corophium crassicorne,2000,3
223,site_54.18_11.75,Corophium crassicorne,2002,1
224,site_54.18_11.75,Corophium crassicorne,2005,1
225,site_54.18_11.75,Corophium insidiosum,2004,1
226,site_54.18_11.75,Coryne tubulosa,2002,1
227,site_54.18_11.75,Crangon crangon,1995,3
228,site_54.18_11.75,Crangon crangon,1999,1
229,site_54.18_11.75,Crangon crangon,2000,2
230,site_54.18_11.75,Crangon crangon,2001,2
231,site_54.18_11.75,Crangon crangon,2002,2
232,site_54.18_11.75,Crangon crangon,2003,1
233,site_54.18_11.75,Crangon crangon,2004,1
234,site_54.18_11.75,Crangon crangon,2005,1
235,site_54.18_11.75,Dendrodoa grossularia,2001,3
236,site_54.18_11.75,Dendrodoa grossularia,2002,1
237,site_54.18_11.75,Dendrodoa grossularia,2003,2
238,site_54.18_11.75,Dendrodoa grossularia,2004,1
239,site_54.18_11.75,Dendrodoa grossularia,2005,1
240,site_54.18_11.75,Diaphana minuta,2000,3
241,site_54.18_11.75,Diastylis rathkei,1994,534
242,site_54.18_11.75,Diastylis rathkei,1995,215
243,site_54.18_11.75,Diastylis rathkei,1996,1483
244,site_54.18_11.75,Diastylis rathkei,1997,2556
245,site_54.18_11.75,Diastylis rathkei,1998,734
246,site_54.18_11.75,Diastylis rathkei,1999,540
247,site_54.18_11.75,Diastylis rathkei,2000,2081
248,site_54.18_11.75,Diastylis rathkei,2001,2473
249,site_54.18_11.75,Diastylis rathkei,2002,486
250,site_54.18_11.75,Diastylis rathkei,2003,184
251,site_54.18_11.75,Diastylis rathkei,2004,1670
252,site_54.18_11.75,Diastylis rathkei,2005,119
253,site_54.18_11.75,Dynamena pumila,2005,1
254,site_54.18_11.75,Edwardsia danica,2000,21
255,site_54.18_11.75,Edwardsia danica,2001,6
256,site_54.18_11.75,Edwardsia danica,2002,3
257,site_54.18_11.75,Edwardsia danica,2003,3
258,site_54.18_11.75,Edwardsia danica,2004,34
259,site_54.18_11.75,Edwardsia danica,2005,3
260,site_54.18_11.75,Electra crustulenta,2000,1
261,site_54.18_11.75,Electra crustulenta,2001,1
262,site_54.18_11.75,Electra crustulenta,2003,2
263,site_54.18_11.75,Electra crustulenta,2004,1
264,site_54.18_11.75,Electra crustulenta,2005,1
265,site_54.18_11.75,Electra pilosa,1996,1
266,site_54.18_11.75,Electra pilosa,2000,2
267,site_54.18_11.75,Electra pilosa,2001,2
268,site_54.18_11.75,Electra pilosa,2002,1
269,site_54.18_11.75,Electra pilosa,2003,1
270,site_54.18_11.75,Electra pilosa,2004,2
271,site_54.18_11.75,Electra pilosa,2005,1
272,site_54.18_11.75,Eteone (Mysta) barbata,1997,3
273,site_54.18_11.75,Eteone longa,1994,52
274,site_54.18_11.75,Eteone longa,1998,6
275,site_54.18_11.75,Eteone longa,1999,4
276,site_54.18_11.75,Eteone longa,2000,17
277,site_54.18_11.75,Eteone longa,2001,37
278,site_54.18_11.75,Eteone longa,2002,3
279,site_54.18_11.75,Eteone longa,2003,1
280,site_54.18_11.75,Eteone longa,2004,4
281,site_54.18_11.75,Euchone papillosa,1999,23
282,site_54.18_11.75,Euchone papillosa,2000,20
283,site_54.18_11.75,Euchone papillosa,2001,7
284,site_54.18_11.75,Euchone papillosa,2002,3
285,site_54.18_11.75,Euchone papillosa,2003,3
286,site_54.18_11.75,Euchone papillosa,2004,5
287,site_54.18_11.75,Eucratea loricata,2000,3
288,site_54.18_11.75,Eucratea loricata,2001,3
289,site_54.18_11.75,Eucratea loricata,2002,1
290,site_54.18_11.75,Eucratea loricata,2003,2
291,site_54.18_11.75,Eucratea loricata,2004,3
292,site_54.18_11.75,Eudendrium,2000,1
293,site_54.18_11.75,Eudendrium,2003,1
294,site_54.18_11.75,Eulalia bilineata,1999,3
295,site_54.18_11.75,Eulalia bilineata,2000,28
296,site_54.18_11.75,Eulalia bilineata,2001,44
297,site_54.18_11.75,Eulalia bilineata,2002,20
298,site_54.18_11.75,Eulalia bilineata,2003,1
299,site_54.18_11.75,Eulalia bilineata,2004,4
300,site_54.18_11.75,Eulalia viridis,2001,1
301,site_54.18_11.75,Facelina bostoniensis,1994,10
302,site_54.18_11.75,Facelina bostoniensis,2000,1
303,site_54.18_11.75,Facelina bostoniensis,2001,13
304,site_54.18_11.75,Facelina bostoniensis,2002,3
305,site_54.18_11.75,Facelina bostoniensis,2003,2
306,site_54.18_11.75,Facelina bostoniensis,2004,1
307,site_54.18_11.75,Facelina bostoniensis,2005,1
308,site_54.18_11.75,Farrella repens,2004,1
309,site_54.18_11.75,Gammarellus homari,1999,1
310,site_54.18_11.75,Gammarus oceanicus,2004,1
311,site_54.18_11.75,Gammarus oceanicus,2005,1
312,site_54.18_11.75,Gammarus salinus,1997,3
313,site_54.18_11.75,Gammarus salinus,1998,3
314,site_54.18_11.75,Gammarus salinus,1999,1
315,site_54.18_11.75,Gammarus salinus,2004,2
316,site_54.18_11.75,Gammarus salinus,2005,1
317,site_54.18_11.75,Garveia franciscana,2001,1
318,site_54.18_11.75,Gastrosaccus spinifer,1994,39
319,site_54.18_11.75,Gastrosaccus spinifer,1997,69
320,site_54.18_11.75,Gastrosaccus spinifer,1998,21
321,site_54.18_11.75,Gastrosaccus spinifer,1999,58
322,site_54.18_11.75,Gastrosaccus spinifer,2000,54
323,site_54.18_11.75,Gastrosaccus spinifer,2001,7
324,site_54.18_11.75,Gastrosaccus spinifer,2003,1
325,site_54.18_11.75,Gastrosaccus spinifer,2004,54
326,site_54.18_11.75,Gastrosaccus spinifer,2005,88
327,site_54.18_11.75,Gonothyraea loveni,1999,1
328,site_54.18_11.75,Gonothyraea loveni,2000,1
329,site_54.18_11.75,Halichondria panicea,2000,1
330,site_54.18_11.75,Halichondria panicea,2004,1
331,site_54.18_11.75,Haliclona (Haliclona) oculata,2005,1
332,site_54.18_11.75,Haliclona limbata,2001,1
333,site_54.18_11.75,Halicryptus spinulosus,1995,3
334,site_54.18_11.75,Halicryptus spinulosus,1996,68
335,site_54.18_11.75,Halicryptus spinulosus,1997,28
336,site_54.18_11.75,Halicryptus spinulosus,1998,12
337,site_54.18_11.75,Halicryptus spinulosus,1999,4
338,site_54.18_11.75,Halicryptus spinulosus,2000,4
339,site_54.18_11.75,Halicryptus spinulosus,2001,13
340,site_54.18_11.75,Halicryptus spinulosus,2003,7
341,site_54.18_11.75,Halicryptus spinulosus,2004,6
342,site_54.18_11.75,Halisarca dujardinii,1999,1
343,site_54.18_11.75,Halisarca dujardinii,2004,1
344,site_54.18_11.75,Halitholus yoldiaarcticae,1999,1
345,site_54.18_11.75,Halitholus yoldiaarcticae,2001,1
346,site_54.18_11.75,Halitholus yoldiaarcticae,2002,1
347,site_54.18_11.75,Halitholus yoldiaarcticae,2003,1
348,site_54.18_11.75,Halitholus yoldiaarcticae,2004,1
349,site_54.18_11.75,Harmothoe imbricata,1994,13
350,site_54.18_11.75,Harmothoe imbricata,1998,12
351,site_54.18_11.75,Harmothoe imbricata,1999,3
352,site_54.18_11.75,Harmothoe imbricata,2000,1
353,site_54.18_11.75,Harmothoe imbricata,2001,10
354,site_54.18_11.75,Harmothoe imbricata,2002,1
355,site_54.18_11.75,Harmothoe imbricata,2003,1
356,site_54.18_11.75,Harmothoe imbricata,2005,1
357,site_54.18_11.75,Harmothoe impar,1999,6
358,site_54.18_11.75,Harmothoe impar,2000,1
359,site_54.18_11.75,Harmothoe impar,2001,3
360,site_54.18_11.75,Harmothoe impar,2002,7
361,site_54.18_11.75,Harmothoe impar,2003,1
362,site_54.18_11.75,Harmothoe impar,2005,1
363,site_54.18_11.75,Hartlaubella gelatinosa,2000,2
364,site_54.18_11.75,Hartlaubella gelatinosa,2001,3
365,site_54.18_11.75,Hartlaubella gelatinosa,2002,1
366,site_54.18_11.75,Hartlaubella gelatinosa,2003,2
367,site_54.18_11.75,Hartlaubella gelatinosa,2004,2
368,site_54.18_11.75,Hediste diversicolor,1994,39
369,site_54.18_11.75,Heteromastus filiformis,1995,3
370,site_54.18_11.75,Heteromastus filiformis,1996,103
371,site_54.18_11.75,Heteromastus filiformis,1997,124
372,site_54.18_11.75,Heteromastus filiformis,1998,78
373,site_54.18_11.75,Heteromastus filiformis,1999,65
374,site_54.18_11.75,Heteromastus filiformis,2000,136
375,site_54.18_11.75,Heteromastus filiformis,2001,54
376,site_54.18_11.75,Heteromastus filiformis,2002,24
377,site_54.18_11.75,Heteromastus filiformis,2003,17
378,site_54.18_11.75,Heteromastus filiformis,2004,27
379,site_54.18_11.75,Heteromastus filiformis,2005,3
380,site_54.18_11.75,Hydrobia ulvae,1995,81
381,site_54.18_11.75,Hydrobia ulvae,1996,497
382,site_54.18_11.75,Hydrobia ulvae,1997,78
383,site_54.18_11.75,Hydrobia ulvae,1998,15
384,site_54.18_11.75,Hydrobia ulvae,1999,71
385,site_54.18_11.75,Hydrobia ulvae,2000,1
386,site_54.18_11.75,Hydrobia ulvae,2002,1
387,site_54.18_11.75,Hydrobia ulvae,2003,34
388,site_54.18_11.75,Hydrobia ulvae,2004,10
389,site_54.18_11.75,Hydrobia ulvae,2005,3
390,site_54.18_11.75,Idotea balthica,1999,1
391,site_54.18_11.75,Idotea balthica,2003,1
392,site_54.18_11.75,Idotea balthica,2004,1
393,site_54.18_11.75,Idotea balthica,2005,1
394,site_54.18_11.75,Idotea chelipes,2005,1
395,site_54.18_11.75,Jaera albifrons,1998,6
396,site_54.18_11.75,Lagis koreni,1994,39
397,site_54.18_11.75,Lagis koreni,1996,675
398,site_54.18_11.75,Lagis koreni,1997,1166
399,site_54.18_11.75,Lagis koreni,1998,87
400,site_54.18_11.75,Lagis koreni,1999,133
401,site_54.18_11.75,Lagis koreni,2000,584
402,site_54.18_11.75,Lagis koreni,2001,85
403,site_54.18_11.75,Lagis koreni,2002,24
404,site_54.18_11.75,Lagis koreni,2003,1188
405,site_54.18_11.75,Lagis koreni,2004,2000
406,site_54.18_11.75,Lagis koreni,2005,548
407,site_54.18_11.75,Laomedea flexuosa,1999,1
408,site_54.18_11.75,Lineus ruber,1999,37
409,site_54.18_11.75,Lineus ruber,2000,14
410,site_54.18_11.75,Lineus ruber,2001,38
411,site_54.18_11.75,Lineus ruber,2002,10
412,site_54.18_11.75,Lineus ruber,2005,1
413,site_54.18_11.75,Littorina littorea,2000,1
414,site_54.18_11.75,Littorina littorea,2005,1
415,site_54.18_11.75,Macoma balthica,1994,156
416,site_54.18_11.75,Macoma balthica,1995,47
417,site_54.18_11.75,Macoma balthica,1996,236
418,site_54.18_11.75,Macoma balthica,1997,1536
419,site_54.18_11.75,Macoma balthica,1998,1343
420,site_54.18_11.75,Macoma balthica,1999,451
421,site_54.18_11.75,Macoma balthica,2000,150
422,site_54.18_11.75,Macoma balthica,2001,9
423,site_54.18_11.75,Macoma balthica,2002,3
424,site_54.18_11.75,Macoma balthica,2004,10
425,site_54.18_11.75,Macoma balthica,2005,3
426,site_54.18_11.75,Malacobdella grossa,2004,7
427,site_54.18_11.75,Marenzelleria neglecta,1999,3
428,site_54.18_11.75,Melicertum octocostatum,1996,3
429,site_54.18_11.75,Melita palmata,2003,1
430,site_54.18_11.75,Metridium senile,1994,1
431,site_54.18_11.75,Metridium senile,2000,2
432,site_54.18_11.75,Metridium senile,2001,1
433,site_54.18_11.75,Metridium senile,2002,1
434,site_54.18_11.75,Metridium senile,2003,1
435,site_54.18_11.75,Metridium senile,2004,1
436,site_54.18_11.75,Metridium senile,2005,1
437,site_54.18_11.75,Microdeutopus gryllotalpa,1995,6
438,site_54.18_11.75,Microdeutopus gryllotalpa,1996,3
439,site_54.18_11.75,Microdeutopus gryllotalpa,1999,1
440,site_54.18_11.75,Microdeutopus gryllotalpa,2000,5
441,site_54.18_11.75,Microdeutopus gryllotalpa,2001,1
442,site_54.18_11.75,Microdeutopus gryllotalpa,2002,1
443,site_54.18_11.75,Microdeutopus gryllotalpa,2003,3
444,site_54.18_11.75,Microdeutopus gryllotalpa,2004,1
445,site_54.18_11.75,Microdeutopus gryllotalpa,2005,7
446,site_54.18_11.75,Microphthalmus aberrans,2001,7
447,site_54.18_11.75,Molgula manhattensis,2000,2
448,site_54.18_11.75,Molgula manhattensis,2001,1
449,site_54.18_11.75,Molgula manhattensis,2002,7
450,site_54.18_11.75,Molgula manhattensis,2003,1
451,site_54.18_11.75,Mya arenaria,1995,6
452,site_54.18_11.75,Mya arenaria,1997,9
453,site_54.18_11.75,Mya arenaria,1999,12
454,site_54.18_11.75,Mya arenaria,2001,3
455,site_54.18_11.75,Mya arenaria,2002,7
456,site_54.18_11.75,Mya arenaria,2003,1
457,site_54.18_11.75,Mya arenaria,2004,2
458,site_54.18_11.75,Mya arenaria,2005,1
459,site_54.18_11.75,Mya truncata,1999,3
460,site_54.18_11.75,Mya truncata,2000,123
461,site_54.18_11.75,Mya truncata,2001,27
462,site_54.18_11.75,Mysella bidentata,1996,308
463,site_54.18_11.75,Mysella bidentata,1997,472
464,site_54.18_11.75,Mysella bidentata,1998,165
465,site_54.18_11.75,Mysella bidentata,1999,198
466,site_54.18_11.75,Mysella bidentata,2000,116
467,site_54.18_11.75,Mysella bidentata,2001,116
468,site_54.18_11.75,Mysella bidentata,2002,17
469,site_54.18_11.75,Mysella bidentata,2003,422
470,site_54.18_11.75,Mysella bidentata,2004,727
471,site_54.18_11.75,Mysella bidentata,2005,293
472,site_54.18_11.75,Mysis mixta,1999,1
473,site_54.18_11.75,Mysis mixta,2000,1
474,site_54.18_11.75,Mysis mixta,2002,1
475,site_54.18_11.75,Mysis mixta,2004,1
476,site_54.18_11.75,Mytilus edulis,1995,3
477,site_54.18_11.75,Mytilus edulis,1996,28
478,site_54.18_11.75,Mytilus edulis,1997,12
479,site_54.18_11.75,Mytilus edulis,1998,209
480,site_54.18_11.75,Mytilus edulis,1999,112
481,site_54.18_11.75,Mytilus edulis,2000,247
482,site_54.18_11.75,Mytilus edulis,2001,133
483,site_54.18_11.75,Mytilus edulis,2002,201
484,site_54.18_11.75,Mytilus edulis,2003,24
485,site_54.18_11.75,Mytilus edulis,2004,71
486,site_54.18_11.75,Mytilus edulis,2005,2476
487,site_54.18_11.75,Neanthes succinea,1995,3
488,site_54.18_11.75,Neanthes succinea,2000,1
489,site_54.18_11.75,Neanthes succinea,2003,1
490,site_54.18_11.75,Nemertina,1994,130
491,site_54.18_11.75,Nemertina,1996,6
492,site_54.18_11.75,Nemertina,1997,9
493,site_54.18_11.75,Nemertina,1998,28
494,site_54.18_11.75,Nemertina,1999,50
495,site_54.18_11.75,Nemertina,2000,36
496,site_54.18_11.75,Nemertina,2001,17
497,site_54.18_11.75,Nemertina,2002,7
498,site_54.18_11.75,Nemertina,2004,18
499,site_54.18_11.75,Nemertina,2005,17
500,site_54.18_11.75,Nephtys,1994,26
501,site_54.18_11.75,Nephtys,1998,96
502,site_54.18_11.75,Nephtys,1999,249
503,site_54.18_11.75,Nephtys,2000,53
504,site_54.18_11.75,Nephtys caeca,1998,3
505,site_54.18_11.75,Nephtys caeca,2000,7
506,site_54.18_11.75,Nephtys caeca,2001,37
507,site_54.18_11.75,Nephtys caeca,2002,10
508,site_54.18_11.75,Nephtys caeca,2003,3
509,site_54.18_11.75,Nephtys caeca,2004,2
510,site_54.18_11.75,Nephtys ciliata,1997,12
511,site_54.18_11.75,Nephtys ciliata,1998,53
512,site_54.18_11.75,Nephtys ciliata,1999,93
513,site_54.18_11.75,Nephtys ciliata,2000,43
514,site_54.18_11.75,Nephtys ciliata,2001,37
515,site_54.18_11.75,Nephtys ciliata,2002,7
516,site_54.18_11.75,Nephtys ciliata,2004,17
517,site_54.18_11.75,Nephtys ciliata,2005,17
518,site_54.18_11.75,Nephtys hombergii,1995,93
519,site_54.18_11.75,Nephtys hombergii,1996,414
520,site_54.18_11.75,Nephtys hombergii,1997,339
521,site_54.18_11.75,Nephtys hombergii,1998,386
522,site_54.18_11.75,Nephtys hombergii,1999,557
523,site_54.18_11.75,Nephtys hombergii,2000,318
524,site_54.18_11.75,Nephtys hombergii,2001,105
525,site_54.18_11.75,Nephtys hombergii,2002,17
