site,year,species,latitude,longitude,min_depth,max_depth,abundance
site_54.32_11.55,2003,Eucratea loricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2003,Halicryptus spinulosus,54.32,11.55,25.0,25.0,28
site_54.32_11.55,2003,Heteromastus filiformis,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2003,Lagis koreni,54.32,11.55,25.0,25.0,242
site_54.32_11.55,2003,Mytilus edulis,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Pherusa plumosa,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2003,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,19
site_54.32_11.55,2003,Polydora caulleryi,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2003,Polydora ciliata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2003,Priapulus caudatus,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2003,Pseudopolydora pulchra,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2003,Scoloplos armiger,54.32,11.55,25.0,25.0,13
site_54.32_11.55,2003,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Abra alba,54.32,11.55,25.0,25.0,170
site_54.32_11.55,2004,Ampharete baltica,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Arctica islandica,54.32,11.55,25.0,25.0,44
site_54.32_11.55,2004,Balanus crenatus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Bylgides sarsi,54.32,11.55,25.0,25.0,25
site_54.32_11.55,2004,Corbula gibba,54.32,11.55,25.0,25.0,25
site_54.32_11.55,2004,Diastylis rathkei,54.32,11.55,25.0,25.0,890
site_54.32_11.55,2004,Euchone papillosa,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Halicryptus spinulosus,54.32,11.55,25.0,25.0,44
site_54.32_11.55,2004,Halitholus yoldiaarcticae,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Harmothoe imbricata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Hartlaubella gelatinosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Heteromastus filiformis,54.32,11.55,25.0,25.0,16
site_54.32_11.55,2004,Lagis koreni,54.32,11.55,25.0,25.0,192
site_54.32_11.55,2004,Lepidonotus squamatus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Musculus marmoratus,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Mya arenaria,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Mysella bidentata,54.32,11.55,25.0,25.0,145
site_54.32_11.55,2004,Mytilus edulis,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Nemertina,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Nephtys ciliata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Nephtys hombergii,54.32,11.55,25.0,25.0,38
site_54.32_11.55,2004,Nereimyra punctata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Oligochaeta,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Ophiura albida,54.32,11.55,25.0,25.0,50
site_54.32_11.55,2004,Paraonis fulgens,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Parvicardium ovale,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Phaxas pellucidus,54.32,11.55,25.0,25.0,3
site_54.32_11.55,2004,Pherusa plumosa,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Philine aperta,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Pholoe assimilis,54.32,11.55,25.0,25.0,9
site_54.32_11.55,2004,Pholoe baltica,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Phyllodoce (Anaitides) maculata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Phyllodoce (Anaitides) mucosa,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6
site_54.32_11.55,2004,Pseudopolydora antennata,54.32,11.55,25.0,25.0,1
site_54.32_11.55,2004,Scalibregma inflatum,54.32,11.55,25.0,25.0,50
site_54.32_11.55,2004,Scoloplos armiger,54.32,11.55,25.0,25.0,35
site_54.32_11.55,2004,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,13
site_54.63_14.28,1994,Aricidea suecica,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1994,Bathyporeia pilosa,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1994,Bylgides sarsi,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1994,Diastylis rathkei,54.63,14.28,31.0,31.0,144
site_54.63_14.28,1994,Halicryptus spinulosus,54.63,14.28,31.0,31.0,48
site_54.63_14.28,1994,Hydrobia ulvae,54.63,14.28,31.0,31.0,91
site_54.63_14.28,1994,Macoma balthica,54.63,14.28,31.0,31.0,2247
site_54.63_14.28,1994,Marenzelleria neglecta,54.63,14.28,31.0,31.0,6
site_54.63_14.28,1994,Mya arenaria,54.63,14.28,31.0,31.0,22
site_54.63_14.28,1994,Mytilus edulis,54.63,14.28,31.0,31.0,222
site_54.63_14.28,1994,Oligochaeta,54.63,14.28,31.0,31.0,454
site_54.63_14.28,1994,Pygospio elegans,54.63,14.28,31.0,31.0,7240
site_54.63_14.28,1994,Scoloplos armiger,54.63,14.28,31.0,31.0,23
site_54.63_14.28,1994,Travisia forbesii,54.63,14.28,31.0,31.0,5
site_54.63_14.28,1995,Bathyporeia pilosa,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1995,Bylgides sarsi,54.63,14.28,31.0,31.0,80
site_54.63_14.28,1995,Corophium volutator,54.63,14.28,31.0,31.0,6
site_54.63_14.28,1995,Crangon crangon,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1995,Diastylis rathkei,54.63,14.28,31.0,31.0,599
site_54.63_14.28,1995,Gammarus salinus,54.63,14.28,31.0,31.0,85
site_54.63_14.28,1995,Gammarus zaddachi,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1995,Halicryptus spinulosus,54.63,14.28,31.0,31.0,54
site_54.63_14.28,1995,Hediste diversicolor,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1995,Hydrobia ulvae,54.63,14.28,31.0,31.0,178
site_54.63_14.28,1995,Jaera albifrons,54.63,14.28,31.0,31.0,9
site_54.63_14.28,1995,Macoma balthica,54.63,14.28,31.0,31.0,1846
site_54.63_14.28,1995,Marenzelleria neglecta,54.63,14.28,31.0,31.0,5
site_54.63_14.28,1995,Mya arenaria,54.63,14.28,31.0,31.0,45
site_54.63_14.28,1995,Mysis mixta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1995,Mytilus edulis,54.63,14.28,31.0,31.0,663
site_54.63_14.28,1995,Oligochaeta,54.63,14.28,31.0,31.0,425
site_54.63_14.28,1995,Pontoporeia femorata,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1995,Pygospio elegans,54.63,14.28,31.0,31.0,8319
site_54.63_14.28,1995,Saduria entomon,54.63,14.28,31.0,31.0,2
site_54.63_14.28,1995,Scoloplos armiger,54.63,14.28,31.0,31.0,10
site_54.63_14.28,1995,Travisia forbesii,54.63,14.28,31.0,31.0,4
site_54.63_14.28,1997,Bylgides sarsi,54.63,14.28,31.0,31.0,7
site_54.63_14.28,1997,Diastylis rathkei,54.63,14.28,31.0,31.0,112
site_54.63_14.28,1997,Halicryptus spinulosus,54.63,14.28,31.0,31.0,82
site_54.63_14.28,1997,Hydrobia ulvae,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1997,Laomedea flexuosa,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1997,Macoma balthica,54.63,14.28,31.0,31.0,1503
site_54.63_14.28,1997,Mya arenaria,54.63,14.28,31.0,31.0,48
site_54.63_14.28,1997,Mytilus edulis,54.63,14.28,31.0,31.0,340
site_54.63_14.28,1997,Oligochaeta,54.63,14.28,31.0,31.0,20
site_54.63_14.28,1997,Pontoporeia femorata,54.63,14.28,31.0,31.0,10
site_54.63_14.28,1997,Pygospio elegans,54.63,14.28,31.0,31.0,2759
site_54.63_14.28,1998,Alcyonidium polyoum,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Ampharete baltica,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Bylgides sarsi,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1998,Crangon crangon,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Diastylis rathkei,54.63,14.28,31.0,31.0,112
site_54.63_14.28,1998,Electra crustulenta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Fabricia stellaris,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1998,Gammarus oceanicus,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Gammarus salinus,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1998,Gammarus zaddachi,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Halicryptus spinulosus,54.63,14.28,31.0,31.0,61
site_54.63_14.28,1998,Halitholus yoldiaarcticae,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Hyperia galba,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Jaera albifrons,54.63,14.28,31.0,31.0,7
site_54.63_14.28,1998,Laomedea flexuosa,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Macoma balthica,54.63,14.28,31.0,31.0,1456
site_54.63_14.28,1998,Mya arenaria,54.63,14.28,31.0,31.0,10
site_54.63_14.28,1998,Mysis mixta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Mytilus edulis,54.63,14.28,31.0,31.0,1486
site_54.63_14.28,1998,Nais elinguis,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1998,Neomysis integer,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1998,Paranais litoralis,54.63,14.28,31.0,31.0,7
site_54.63_14.28,1998,Pygospio elegans,54.63,14.28,31.0,31.0,3949
site_54.63_14.28,1998,Saduria entomon,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1998,Tubifex costatus,54.63,14.28,31.0,31.0,109
site_54.63_14.28,1999,Alcyonidium polyoum,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Bathyporeia pilosa,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1999,Bylgides sarsi,54.63,14.28,31.0,31.0,146
site_54.63_14.28,1999,Crangon crangon,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Diastylis rathkei,54.63,14.28,31.0,31.0,425
site_54.63_14.28,1999,Electra crustulenta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Gammarus oceanicus,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Gammarus salinus,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1999,Gammarus zaddachi,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1999,Halicryptus spinulosus,54.63,14.28,31.0,31.0,170
site_54.63_14.28,1999,Jaera albifrons,54.63,14.28,31.0,31.0,7
site_54.63_14.28,1999,Macoma balthica,54.63,14.28,31.0,31.0,1827
site_54.63_14.28,1999,Mya arenaria,54.63,14.28,31.0,31.0,54
site_54.63_14.28,1999,Mysis mixta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Mytilus edulis,54.63,14.28,31.0,31.0,1779
site_54.63_14.28,1999,Neomysis integer,54.63,14.28,31.0,31.0,1
site_54.63_14.28,1999,Pontoporeia femorata,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1999,Pygospio elegans,54.63,14.28,31.0,31.0,5636
site_54.63_14.28,1999,Saduria entomon,54.63,14.28,31.0,31.0,3
site_54.63_14.28,1999,Tubifex costatus,54.63,14.28,31.0,31.0,17
site_54.63_14.28,1999,Verticillina verticillata,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Alcyonidium polyoum,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Bylgides sarsi,54.63,14.28,31.0,31.0,24
site_54.63_14.28,2000,Crangon crangon,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Diastylis rathkei,54.63,14.28,31.0,31.0,58
site_54.63_14.28,2000,Electra crustulenta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Gammarus oceanicus,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Gammarus salinus,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Gammarus zaddachi,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Halicryptus spinulosus,54.63,14.28,31.0,31.0,65
site_54.63_14.28,2000,Hartlaubella gelatinosa,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Jaera albifrons,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Macoma balthica,54.63,14.28,31.0,31.0,1187
site_54.63_14.28,2000,Mya arenaria,54.63,14.28,31.0,31.0,20
site_54.63_14.28,2000,Mysis mixta,54.63,14.28,31.0,31.0,1
site_54.63_14.28,2000,Mytilus edulis,54.63,14.28,31.0,31.0,303
site_54.63_14.28,2000,Nais elinguis,54.63,14.28,31.0,31.0,1
