site,year,species,latitude,longitude,min_depth,max_depth,abundance,site_id,bot_depth,secchi_depth,depth,temperature,salinity,oxygen,phosphate,total_phosphorus,silicate,nitrate_nitrite,nitrate,nitrite,ammonium,total_nitrogen,hydrogen_sulphide,ph,total_alkalinity,chlorophyll_a
site_54.32_11.55,1983,Priapulus caudatus,54.32,11.55,25.0,25.0,32,S0,25.0,6.38,12.1,9.225999999999999,16.40236666666667,6.434666666666667,0.986,2.9010000000000002,31.723333333333336,4.28,2.96,0.2856666666666667,1.2966666666666666,23.43,0.28,8.059000000000001,1.8814,1.595
site_54.32_11.55,1984,Abra alba,54.32,11.55,25.0,25.0,22,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Arctica islandica,54.32,11.55,25.0,25.0,27,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Bylgides sarsi,54.32,11.55,25.0,25.0,9,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Corbula gibba,54.32,11.55,25.0,25.0,35,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Diastylis rathkei,54.32,11.55,25.0,25.0,40,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Halicryptus spinulosus,54.32,11.55,25.0,25.0,57,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Heteromastus filiformis,54.32,11.55,25.0,25.0,22,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Lagis koreni,54.32,11.55,25.0,25.0,18,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Nephtys ciliata,54.32,11.55,25.0,25.0,5,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Paraonis fulgens,54.32,11.55,25.0,25.0,5,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Phaxas pellucidus,54.32,11.55,25.0,25.0,5,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,5,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1984,Priapulus caudatus,54.32,11.55,25.0,25.0,5,S0,24.857142857142858,4.716666666666667,12.214285714285714,9.147857142857143,15.215071428571429,6.659523809523809,0.7895238095238096,7.719047619047619,18.364285714285717,4.28,4.147619047619047,0.20976190476190476,1.5214285714285714,30.0,1.2,7.42,1.6937142857142855,1.7464285714285712
site_54.32_11.55,1986,Arctica islandica,54.32,11.55,25.0,25.0,41,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1986,Corbula gibba,54.32,11.55,25.0,25.0,61,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1986,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1986,Heteromastus filiformis,54.32,11.55,25.0,25.0,58,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1986,Nephtys hombergii,54.32,11.55,25.0,25.0,9,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1986,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,15,S0,24.666666666666668,4.199999999999999,12.583333333333334,7.827500000000001,14.883666666666667,6.926944444444445,0.5533333333333333,1.2091666666666667,18.875,4.28,2.2472222222222222,0.145,1.075,30.0,1.2,7.42,1.7389166666666667,3.4722222222222223
site_54.32_11.55,1988,Abra alba,54.32,11.55,25.0,25.0,67,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Ampharete baltica,54.32,11.55,25.0,25.0,12,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Arctica islandica,54.32,11.55,25.0,25.0,50,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Bylgides sarsi,54.32,11.55,25.0,25.0,32,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Capitella capitata,54.32,11.55,25.0,25.0,3,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Corbula gibba,54.32,11.55,25.0,25.0,15,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Diastylis rathkei,54.32,11.55,25.0,25.0,24,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Heteromastus filiformis,54.32,11.55,25.0,25.0,182,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Lagis koreni,54.32,11.55,25.0,25.0,3,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Macoma balthica,54.32,11.55,25.0,25.0,6,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Metridium senile,54.32,11.55,25.0,25.0,3,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Nephtys hombergii,54.32,11.55,25.0,25.0,12,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Pholoe,54.32,11.55,25.0,25.0,17,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,3,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Priapulus caudatus,54.32,11.55,25.0,25.0,3,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Scoloplos armiger,54.32,11.55,25.0,25.0,38,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1988,Trochochaeta multisetosa,54.32,11.55,25.0,25.0,6,S0,25.0,7.872727272727272,13.818181818181818,8.408181818181818,16.01009090909091,5.850909090909091,0.6545454545454545,1.0436363636363637,17.21818181818182,4.28,5.127272727272727,0.2681818181818182,0.3181818181818182,19.4,1.2,8.08,1.587,1.009090909090909
site_54.32_11.55,1989,Arctica islandica,54.32,11.55,25.0,25.0,97,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Bylgides sarsi,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Cerastoderma glaucum,54.32,11.55,25.0,25.0,131,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Corbula gibba,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Diastylis rathkei,54.32,11.55,25.0,25.0,30,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Gastrosaccus spinifer,54.32,11.55,25.0,25.0,17,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Halicryptus spinulosus,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Heteromastus filiformis,54.32,11.55,25.0,25.0,148,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Mysella bidentata,54.32,11.55,25.0,25.0,33,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Nephtys,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Nephtys hombergii,54.32,11.55,25.0,25.0,20,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Pholoe,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Polydora ciliata,54.32,11.55,25.0,25.0,185,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1989,Priapulus caudatus,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Arctica islandica,54.32,11.55,25.0,25.0,29,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Bylgides sarsi,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Corbula gibba,54.32,11.55,25.0,25.0,47,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Crangon crangon,54.32,11.55,25.0,25.0,9,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Diastylis rathkei,54.32,11.55,25.0,25.0,94,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Halicryptus spinulosus,54.32,11.55,25.0,25.0,6,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Heteromastus filiformis,54.32,11.55,25.0,25.0,41,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Lagis koreni,54.32,11.55,25.0,25.0,88,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Levinsenia gracilis,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Mya arenaria,54.32,11.55,25.0,25.0,9,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Mysella bidentata,54.32,11.55,25.0,25.0,9,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Nephtys,54.32,11.55,25.0,25.0,3,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Nephtys hombergii,54.32,11.55,25.0,25.0,15,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Polydora (Polydora) quadrilobata,54.32,11.55,25.0,25.0,6,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1990,Polydora ciliata,54.32,11.55,25.0,25.0,9,S0,24.0,6.58,12.3,11.169666666666666,15.837,5.892333333333334,0.9103333333333334,1.2756666666666665,20.89,3.131333333333333,1.6233333333333335,0.14233333333333334,0.9266666666666666,19.34,0.5,7.89,1.587,2.7733333333333334
site_54.32_11.55,1991,Abra alba,54.32,11.55,25.0,25.0,158,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Arctica islandica,54.32,11.55,25.0,25.0,18,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Bylgides sarsi,54.32,11.55,25.0,25.0,9,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Corbula gibba,54.32,11.55,25.0,25.0,58,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Diastylis rathkei,54.32,11.55,25.0,25.0,6,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Heteromastus filiformis,54.32,11.55,25.0,25.0,6,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
site_54.32_11.55,1991,Lagis koreni,54.32,11.55,25.0,25.0,29,S0,24.915254237288135,6.6525423728813555,12.280366844067796,10.082627118644067,14.982661016949152,6.76322033898305,0.5905084745762712,0.74,13.8,4.28,3.357627118644068,0.32949152542372884,1.0101694915254238,19.4,1.2,8.08,1.587,2.7054237288135594
